time0,eta0,time1,eta1
0.0,349.2,0.0,349.2
0.0,349.2,0.0,349.2
5.0,187.2,5.333333333333333,176.4
5.0,187.2,5.333333333333333,176.4
5.316666666666666,176.94,9.741666666666667,166.14
5.505765958614633,349.02035567264977,9.942621713595697,349.0090927054173
15.483333333333333,163.17000000000004,20.908333333333335,163.17
15.687548712882155,349.0059953894282,21.11254871288216,349.0059953894298
23.0,281.43000000000006,23.0,292.23
23.0,281.43000000000006,23.0,292.23
23.991666666666667,249.30000000000004,23.991666666666667,260.1
24.0,249.30000000000004,23.991666666666667,260.1
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
